go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/storage,storage/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/verification,verification/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/votesorder,votesorder/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/voting,voting/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/webeid,webeid/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/choices,choices/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/common/collector,common/collector/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/mid,mid/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/sessionstatus,sessionstatus/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/sessionstatus/api,sessionstatus/api/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/smartid,smartid/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/storage,storage/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/verification,verification/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/votesorder,votesorder/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/voting,voting/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-systemd/v22,v22.3.2,ivxv.ee/webeid,webeid/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/,https://proxy.golang.org/github.com/coreos/go-systemd/v22/@v/v22.3.2.zip,public-verifiable,01134ae89bf4a91c17eeb1f8425e1064f9bde64cf3ce0c9cf546a9fa1ee25e64,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gabriel-vasile/mimetype,v1.4.3,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gabriel-vasile/mimetype/@v/,https://storage.googleapis.com/proxy-golang-org-prod/8df50aaa37f10f1f-github.com:gabriel-vasile:mimetype-v1.4.3.zip?Expires=1784888287&GoogleAccessId=gcs-urlsigner-prod%40golang-modproxy.iam.gserviceaccount.com&Signature=VJMWnyUpoekU1E9BYaPaRGu2SHJJFC9OiPQIxzn8Qt%2FkVV7VtGMFfRlyKUvqW7iBR67k0ph1siLAoq0JziVFXuojzpPr34Jcoz7%2Bm%2BvnYbxmIoCkbCtAgmHPqWlev9oHc6pxhugjOxtATFnRFtUjASXbE%2FIM%2B9AlkU8Pc%2F4p4de1BPzepgnOC4WxvWk6rtPLvvs3u%2BrV8leZWm%2B3RuynD9qxWSAfWaLfIlPCPEhXe9k9ijPncMyfXz%2BzV01BEM3x2QCudB41o19HoCxl6b4ZpFRe2cRBf7je4qGZoGQ38wxZHw0IpuiweDf4fB0hTCAyyM1%2FK9jHQjJcyZUS7X6xjg%3D%3D,public-verifiable,cbad487d3bd410db294fe9b95dff68dd9e1e59beb0d4850ca416e13b1cd70faf,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:in2uUcidCuFcDKtdcBxlR0rJ1+fsokWf+uqxgUFjbI0=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gin-contrib/sse,v0.1.0,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gin-contrib/sse/@v/,https://proxy.golang.org/github.com/gin-contrib/sse/@v/v0.1.0.zip,public-verifiable,512c8672f26405172077e764c4817ed8f66edc632d1bed205b5e1b8d282816ab,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:Y/yl/+YNO8GZSjAhjMsSuLt29uWRFHdHYUb5lYOV9qE=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gin-gonic/gin,v1.10.0,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gin-gonic/gin/@v/,https://proxy.golang.org/github.com/gin-gonic/gin/@v/v1.10.0.zip,public-verifiable,c983efe780ee7c250a287eb26f228e0f7b77667c5ff9f4448cd54f05d28f5e70,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:nTuyha1TYqgedzytsKYqna+DfLos46nTv2ygFy86HFU=; go.mod hash absent; indirect=false; verification=proxy-verified
go,github.com/go-playground/locales,v0.14.1,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/go-playground/locales/@v/,https://proxy.golang.org/github.com/go-playground/locales/@v/v0.14.1.zip,public-verifiable,f33b53f2eef290d8b43b1011285f1f9cfcb1295c690defcb452598773baace7b,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:EWaQ/wswjilfKLTECiXz7Rh+3BjFhfDFKv/oXslEjJA=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/go-playground/universal-translator,v0.18.1,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/go-playground/universal-translator/@v/,https://proxy.golang.org/github.com/go-playground/universal-translator/@v/v0.18.1.zip,public-verifiable,77fc966f2d045c208ddeaa8343924f83688841b6f4c2ae005dc9ea5550c7d171,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:Bcnm0ZwsGyWbCzImXv+pAJnYK9S473LQFuzCbDbfSFY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/go-playground/validator/v10,v10.20.0,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/go-playground/validator/v10/@v/,https://proxy.golang.org/github.com/go-playground/validator/v10/@v/v10.20.0.zip,public-verifiable,dce6b136e5a21f32082a75a083a0e17cafeb8fdbc5457a3c5b965835e8a1f8b1,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:K9ISHbSaI0lyB2eWMPJo+kOS/FBExVwjEviJTixqxL8=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/goccy/go-json,v0.10.2,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/goccy/go-json/@v/,https://proxy.golang.org/github.com/goccy/go-json/@v/v0.10.2.zip,public-verifiable,ed9043ee01cc46557c74bcecc625db37ffe3a5c7af219f390a287f44a40c2520,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:CrxCmQqYDkv1z7lO7Wbh2HN93uovUHgrECaO5ZrCXAU=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gogo/protobuf,v1.3.2,ivxv.ee/choices,choices/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gogo/protobuf/@v/,https://proxy.golang.org/github.com/gogo/protobuf/@v/v1.3.2.zip,public-verifiable,dd2b73f163c8183941626360196c8f844addd95423d341a0412e1b22d0104ff7,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gogo/protobuf,v1.3.2,ivxv.ee/common/collector,common/collector/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gogo/protobuf/@v/,https://proxy.golang.org/github.com/gogo/protobuf/@v/v1.3.2.zip,public-verifiable,dd2b73f163c8183941626360196c8f844addd95423d341a0412e1b22d0104ff7,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gogo/protobuf,v1.3.2,ivxv.ee/mid,mid/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gogo/protobuf/@v/,https://proxy.golang.org/github.com/gogo/protobuf/@v/v1.3.2.zip,public-verifiable,dd2b73f163c8183941626360196c8f844addd95423d341a0412e1b22d0104ff7,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gogo/protobuf,v1.3.2,ivxv.ee/sessionstatus,sessionstatus/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gogo/protobuf/@v/,https://proxy.golang.org/github.com/gogo/protobuf/@v/v1.3.2.zip,public-verifiable,dd2b73f163c8183941626360196c8f844addd95423d341a0412e1b22d0104ff7,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gogo/protobuf,v1.3.2,ivxv.ee/sessionstatus/api,sessionstatus/api/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gogo/protobuf/@v/,https://proxy.golang.org/github.com/gogo/protobuf/@v/v1.3.2.zip,public-verifiable,dd2b73f163c8183941626360196c8f844addd95423d341a0412e1b22d0104ff7,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gogo/protobuf,v1.3.2,ivxv.ee/smartid,smartid/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gogo/protobuf/@v/,https://proxy.golang.org/github.com/gogo/protobuf/@v/v1.3.2.zip,public-verifiable,dd2b73f163c8183941626360196c8f844addd95423d341a0412e1b22d0104ff7,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/gogo/protobuf,v1.3.2,ivxv.ee/storage,storage/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/gogo/protobuf/@v/,https://proxy.golang.org/github.com/gogo/protobuf/@v/v1.3.2.zip,public-verifiable,dd2b73f163c8183941626360196c8f844addd95423d341a0412e1b22d0104ff7,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=; go.mod hash absent; indirect=true; verification=proxy-verified
